video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
lJcjFGt9eQM,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,186373,2430,0,907,2020-03-16T18:00:09Z,"Fox News Channel,Fox news,News,FNC,outnumbered overtime,harris faulkner,harris faulkner fox news,dr siegel,coronavirus,coronavirus questions,self quarantine,coronavirus news,coronavirus updates,trump,donald trump,president trump,trump coronavirus,trump coronavirus task force,coronavirus task force,health,health crisis,public health crisis,us public health crisis,fox news coronavirus,how to avoid coronavirus,corona virus,response to coronavirus",PT9M49S,hd,True,https://i.ytimg.com/vi/lJcjFGt9eQM/default.jpg,https://www.youtube.com/watch?v=lJcjFGt9eQM
76J7SqZXG1g,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,30984,403,0,123,2020-03-16T18:22:44Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus pandemic,bill hemmer,bill hemmer fox news,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus in the us,trump,trump coronavirus,pandemic,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates",PT7M42S,hd,True,https://i.ytimg.com/vi/76J7SqZXG1g/default.jpg,https://www.youtube.com/watch?v=76J7SqZXG1g
zwX5z_BvaN4,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,43328,635,0,178,2020-03-16T18:12:18Z,"Fox News Channel,Fox News,News,FNC,outnumbered overtime,harris faulkner,harris faulkner fox news,harris faulkner outnumbered overtime,dr siegel,mark seigel,dr mark seigel fox news,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates",PT7M33S,hd,True,https://i.ytimg.com/vi/zwX5z_BvaN4/default.jpg,https://www.youtube.com/watch?v=zwX5z_BvaN4
xhpqX1NbusQ,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,39565,499,0,280,2020-03-16T18:25:52Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT5M50S,hd,True,https://i.ytimg.com/vi/xhpqX1NbusQ/default.jpg,https://www.youtube.com/watch?v=xhpqX1NbusQ
0pkwjVhq230,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,45038,416,0,123,2020-03-16T18:18:47Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,diamond princess,cruise ship,diamond princess passenger,diamond princess cruise ship,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT4M11S,hd,True,https://i.ytimg.com/vi/0pkwjVhq230/default.jpg,https://www.youtube.com/watch?v=0pkwjVhq230
6G_-qe0iMBs,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,41548,394,0,169,2020-03-16T18:24:00Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT4M21S,hd,True,https://i.ytimg.com/vi/6G_-qe0iMBs/default.jpg,https://www.youtube.com/watch?v=6G_-qe0iMBs
6g4LpUAjhN0,UCXIJgqnII2ZOINSWNOGFThA,miami marlins coronavirus outbreak causes mlb to postpone games,Fox News,News & Politics,none,35542,219,0,399,2020-07-27T18:33:53Z,"Fox News Channel,Fox News,News,media,sports,Miami Marlins,Derek Jeter,mlb,miami marlins coronavirus,Coronavirus,Coronavirus treatment,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,coronavirus quarantine,social distancing,coronavirus relief bill,coronavirus peak,coronavirus vaccine,vaccines,medical supplies,Marlins Phillies,MLB opener,MLB coronavirus",PT1M31S,hd,False,https://i.ytimg.com/vi/6g4LpUAjhN0/default.jpg,https://www.youtube.com/watch?v=6g4LpUAjhN0
Pevfw17JS6k,UCXIJgqnII2ZOINSWNOGFThA,gutfeld on promising new treatments on the coronavirus,Fox News,News & Politics,none,152542,3261,0,1004,2020-03-23T23:01:39Z,"The Five,The Five Greg Gutfeld,Greg Gutfeld,Gutfeld,Greg Gutfeld Monologue,Gutfeld Monologue,Gutfeld Tonight,Greg Gutfeld Monologue tonight,Greg Gutfeld reacts,juan williams,dana perrino,dagen mcdowell,jesse watters,Greg Gutfeld china,greg gutfeld medicine,coronavirus,the five coronavirus,fnc,fox news,fox news channel,fox news media,fox news network,malaria drug,hydroxychloroquine,coronavirus hydroxychloroquine,covid-19,covid-19 treatment,new york",PT7M45S,hd,True,https://i.ytimg.com/vi/Pevfw17JS6k/default.jpg,https://www.youtube.com/watch?v=Pevfw17JS6k
d1eEWihvwpQ,UCXIJgqnII2ZOINSWNOGFThA,who declares coronavirus outbreak a pandemic,Fox News,News & Politics,none,464904,3656,0,1923,2020-03-11T16:50:56Z,"fox news alert,breaking news,fox,news,fox news channel,corona,corona virus,virus,coronavirus,pandemic,WHO,world health,world health organization,breaking,health,coronavirus pandemic,covid,covid 19,covid19,coronavirus news",PT51S,hd,True,https://i.ytimg.com/vi/d1eEWihvwpQ/default.jpg,https://www.youtube.com/watch?v=d1eEWihvwpQ
byWnECUo1uw,UCXIJgqnII2ZOINSWNOGFThA,dr fauci takes questions from the press around coronavirus procedures,Fox News,News & Politics,none,44067,693,0,197,2020-03-12T21:56:55Z,"Dr. Fauci,ANthony Fauci live,Dr. Fauci Live,Dr Fauci Press conference,dr fauci coronavirus live,coronavirus,coronavirus vaccine,fnc,fox news,fox news channel,fox news network,fox news live,coronavirus press conference live,fox news dr. fauci,fox news coronavirus,coronavirus outbreak,stock market,virus protection",PT5M27S,hd,False,https://i.ytimg.com/vi/byWnECUo1uw/default.jpg,https://www.youtube.com/watch?v=byWnECUo1uw
cQm7T94FuE4,UCXIJgqnII2ZOINSWNOGFThA,study gilead drug remdesivir sped coronavirus recovery time by ,Fox News,News & Politics,none,47375,853,0,462,2020-04-30T20:46:09Z,"health,remdesivir,remdesivir cost per pill,remdesivir cost,siegel,dr. marc siegel,marc siegel,dr. siegel,marc siegel remdesivir,remdesivir coronavirus treatment,coronavirus treatments,gilead,gilead remdesivir,who makes remdesivir,gilead sciences drug coronavirus,fox news,fox news channel,fox news media,fox news network,coronavirus,coronavirus pandemic,covid-19,coronavirus updates,remdesivir trump,bill hemmer,bill hemmer reports,bill hemmer siegel,fnc",PT4M10S,hd,True,https://i.ytimg.com/vi/cQm7T94FuE4/default.jpg,https://www.youtube.com/watch?v=cQm7T94FuE4
vjg3FW7YVFI,UCXIJgqnII2ZOINSWNOGFThA,whos most at risk for coronavirus  psa,Fox News,News & Politics,none,44049,564,0,306,2020-03-24T14:31:25Z,"Fox News Channel,FNC,Fox News,News,Latest News,coronavirus,covid19,covid-19,covid 19,CDC,centers for disease control and prevention,corona virus,public health,infectious disease,coronavirus news,coronavirus symptoms",PT1M1S,hd,False,https://i.ytimg.com/vi/vjg3FW7YVFI/default.jpg,https://www.youtube.com/watch?v=vjg3FW7YVFI
ZVv2R9MbI9s,UCXIJgqnII2ZOINSWNOGFThA,medical experts answer viewers coronavirus questions on fox news  night,Fox News,News & Politics,none,46927,642,0,355,2020-03-19T05:02:23Z,"special,fox news @ night,health,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,social distancing,white house,Fox News Channel,Fox News",PT9M,hd,True,https://i.ytimg.com/vi/ZVv2R9MbI9s/default.jpg,https://www.youtube.com/watch?v=ZVv2R9MbI9s
